TAX,ASSESSED
VILLAGE TAXABLE,39750
SCHOOL TAXABLE,39750
FULL MKT VAL,2245762
COUNTY TAXABLE,25075
VILLAGE TAXABLE,25075
SCHOOL TAXABLE,25075
FULL MKT VAL,1416666
COUNTY TAXABLE,54625
VILLAGE TAXABLE,54625
SCHOOL TAXABLE,54625
FULL MKT VAL,3086158
COUNTY TAXABLE,22725
VILLAGE TAXABLE,22725
SCHOOL TAXABLE,22725
FULL MKT VAL,1283898
COUNTY TAXABLE,22125
VILLAGE TAXABLE,22125
SCHOOL TAXABLE,22125
FULL MKT VAL,1249999
COUNTY TAXABLE,27650
VILLAGE TAXABLE,27650
SCHOOL TAXABLE,27650
FULL MKT VAL,1562146
COUNTY TAXABLE,29900
VILLAGE TAXABLE,29900
SCHOOL TAXABLE,28070
FULL MKT VAL,1689265
COUNTY TAXABLE,35000
VILLAGE TAXABLE,35000
SCHOOL TAXABLE,35000
FULL MKT VAL,1977401
COUNTY TAXABLE,42125
VILLAGE TAXABLE,42125
SCHOOL TAXABLE,42125
FULL MKT VAL,2379943
COUNTY TAXABLE,22875
VILLAGE TAXABLE,22875
SCHOOL TAXABLE,22875
FULL MKT VAL,1292372
COUNTY TAXABLE,31500
VILLAGE TAXABLE,31500
SCHOOL TAXABLE,31500
FULL MKT VAL,1779661
COUNTY TAXABLE,45500
VILLAGE TAXABLE,45500
SCHOOL TAXABLE,45500
FULL MKT VAL,2570621
COUNTY TAXABLE,50100
VILLAGE TAXABLE,50100
SCHOOL TAXABLE,50100
FULL MKT VAL,2830508
COUNTY TAXABLE,47675
VILLAGE TAXABLE,47675
SCHOOL TAXABLE,47675
FULL MKT VAL,2693502
COUNTY TAXABLE,43250
VILLAGE TAXABLE,43250
SCHOOL TAXABLE,43250
FULL MKT VAL,2443502
COUNTY TAXABLE,32500
VILLAGE TAXABLE,32500
SCHOOL TAXABLE,32500
FULL MKT VAL,1836158
COUNTY TAXABLE,32800
VILLAGE TAXABLE,32800
SCHOOL TAXABLE,30970
FULL MKT VAL,1853107
COUNTY TAXABLE,35125
VILLAGE TAXABLE,35125
SCHOOL TAXABLE,35125
FULL MKT VAL,1984463
COUNTY TAXABLE,18700
VILLAGE TAXABLE,18700
SCHOOL TAXABLE,18700
FULL MKT VAL,1056497
COUNTY TAXABLE,30250
VILLAGE TAXABLE,30250
SCHOOL TAXABLE,30250
FULL MKT VAL,1709039
COUNTY TAXABLE,19100
VILLAGE TAXABLE,19100
SCHOOL TAXABLE,21400
FULL MKT VAL,1209039
COUNTY TAXABLE,25275
VILLAGE TAXABLE,25275
SCHOOL TAXABLE,23445
FULL MKT VAL,1427966
COUNTY TAXABLE,14500
VILLAGE TAXABLE,14500
SCHOOL TAXABLE,12670
FULL MKT VAL,819209
COUNTY TAXABLE,23300
VILLAGE TAXABLE,23300
SCHOOL TAXABLE,21470
FULL MKT VAL,1316384
COUNTY TAXABLE,6100
VILLAGE TAXABLE,6100
SCHOOL TAXABLE,6100
FULL MKT VAL,344632
COUNTY TAXABLE,19600
VILLAGE TAXABLE,19600
SCHOOL TAXABLE,19600
FULL MKT VAL,1107344
COUNTY TAXABLE,22000
VILLAGE TAXABLE,22000
SCHOOL TAXABLE,22000
FULL MKT VAL,1242937
COUNTY TAXABLE,21600
VILLAGE TAXABLE,21600
SCHOOL TAXABLE,21600
FULL MKT VAL,1220338
COUNTY TAXABLE,28275
VILLAGE TAXABLE,28275
SCHOOL TAXABLE,28275
FULL MKT VAL,1597457
COUNTY TAXABLE,23275
VILLAGE TAXABLE,23275
SCHOOL TAXABLE,21445
FULL MKT VAL,1314971
COUNTY TAXABLE,38700
VILLAGE TAXABLE,38700
SCHOOL TAXABLE,38700
FULL MKT VAL,2186440
COUNTY TAXABLE,26500
VILLAGE TAXABLE,26500
SCHOOL TAXABLE,26500
FULL MKT VAL,1497175
COUNTY TAXABLE,31800
VILLAGE TAXABLE,31800
SCHOOL TAXABLE,31800
FULL MKT VAL,1796610
COUNTY TAXABLE,18300
VILLAGE TAXABLE,18300
SCHOOL TAXABLE,16470
FULL MKT VAL,1033898
COUNTY TAXABLE,22400
VILLAGE TAXABLE,22400
SCHOOL TAXABLE,22400
FULL MKT VAL,1265536
COUNTY TAXABLE,30025
VILLAGE TAXABLE,30025
SCHOOL TAXABLE,28195
FULL MKT VAL,1696327
COUNTY TAXABLE,15400
VILLAGE TAXABLE,15400
SCHOOL TAXABLE,13570
FULL MKT VAL,870056
COUNTY TAXABLE,42350
VILLAGE TAXABLE,42350
SCHOOL TAXABLE,40520
FULL MKT VAL,2392655
COUNTY TAXABLE,23700
VILLAGE TAXABLE,23700
SCHOOL TAXABLE,21870
FULL MKT VAL,1338983
COUNTY TAXABLE,19400
VILLAGE TAXABLE,19400
SCHOOL TAXABLE,17570
FULL MKT VAL,1096045
COUNTY TAXABLE,18300
VILLAGE TAXABLE,18300
SCHOOL TAXABLE,18300
FULL MKT VAL,1033898
COUNTY TAXABLE,22150
VILLAGE TAXABLE,22150
SCHOOL TAXABLE,22150
FULL MKT VAL,1251412
COUNTY TAXABLE,22100
VILLAGE TAXABLE,22100
SCHOOL TAXABLE,20270
FULL MKT VAL,1248587
COUNTY TAXABLE,26725
VILLAGE TAXABLE,26725
SCHOOL TAXABLE,26725
FULL MKT VAL,1509887
COUNTY TAXABLE,24900
VILLAGE TAXABLE,24900
SCHOOL TAXABLE,24900
FULL MKT VAL,1406779
COUNTY TAXABLE,27140
VILLAGE TAXABLE,27140
FULL MKT VAL,1590395
SCHOOL TAXABLE,26320
COUNTY TAXABLE,29400
VILLAGE TAXABLE,29400
SCHOOL TAXABLE,29400
FULL MKT VAL,1661016
COUNTY TAXABLE,3100
VILLAGE TAXABLE,3100
SCHOOL TAXABLE,3100
FULL MKT VAL,175141
COUNTY TAXABLE,2900
VILLAGE TAXABLE,2900
SCHOOL TAXABLE,2900
FULL MKT VAL,163841
COUNTY TAXABLE,2600
VILLAGE TAXABLE,2600
SCHOOL TAXABLE,2600
FULL MKT VAL,146892
COUNTY TAXABLE,2300
VILLAGE TAXABLE,2300
SCHOOL TAXABLE,2300
FULL MKT VAL,129943
COUNTY TAXABLE,2100
VILLAGE TAXABLE,2100
SCHOOL TAXABLE,2100
FULL MKT VAL,118644
COUNTY TAXABLE,2000
VILLAGE TAXABLE,2000
SCHOOL TAXABLE,2000
FULL MKT VAL,112994
COUNTY TAXABLE,2600
VILLAGE TAXABLE,2600
SCHOOL TAXABLE,2600
FULL MKT VAL,146892
COUNTY TAXABLE,24700
VILLAGE TAXABLE,24700
SCHOOL TAXABLE,22870
FULL MKT VAL,1395480
COUNTY TAXABLE,35900
VILLAGE TAXABLE,35900
SCHOOL TAXABLE,35900
FULL MKT VAL,2028248
COUNTY TAXABLE,37500
VILLAGE TAXABLE,37500
SCHOOL TAXABLE,37500
FULL MKT VAL,2118644
COUNTY TAXABLE,32900
VILLAGE TAXABLE,32900
SCHOOL TAXABLE,32900
FULL MKT VAL,1858757
COUNTY TAXABLE,53000
VILLAGE TAXABLE,53000
SCHOOL TAXABLE,53000
FULL MKT VAL,2994350
COUNTY TAXABLE,27300
VILLAGE TAXABLE,27300
SCHOOL TAXABLE,27300
FULL MKT VAL,1542372
COUNTY TAXABLE,21750
VILLAGE TAXABLE,21750
SCHOOL TAXABLE,19920
FULL MKT VAL,1228813
COUNTY TAXABLE,19750
VILLAGE TAXABLE,19750
SCHOOL TAXABLE,17920
FULL MKT VAL,1115819
COUNTY TAXABLE,24700
VILLAGE TAXABLE,24700
SCHOOL TAXABLE,24700
FULL MKT VAL,1395480
COUNTY TAXABLE,23700
VILLAGE TAXABLE,23700
SCHOOL TAXABLE,21870
FULL MKT VAL,1338983
COUNTY TAXABLE,28400
VILLAGE TAXABLE,28400
SCHOOL TAXABLE,26570
FULL MKT VAL,1604519
COUNTY TAXABLE,22090
VILLAGE TAXABLE,22090
SCHOOL TAXABLE,23100
FULL MKT VAL,1305084
COUNTY TAXABLE,26600
VILLAGE TAXABLE,26600
SCHOOL TAXABLE,26600
FULL MKT VAL,1502824
COUNTY TAXABLE,28000
VILLAGE TAXABLE,28000
SCHOOL TAXABLE,28000
FULL MKT VAL,1581920
COUNTY TAXABLE,20500
VILLAGE TAXABLE,20500
SCHOOL TAXABLE,18670
FULL MKT VAL,1158192
COUNTY TAXABLE,19500
VILLAGE TAXABLE,19500
SCHOOL TAXABLE,17670
FULL MKT VAL,1101694
COUNTY TAXABLE,26500
VILLAGE TAXABLE,26500
SCHOOL TAXABLE,24670
FULL MKT VAL,1497175
COUNTY TAXABLE,22700
VILLAGE TAXABLE,22700
SCHOOL TAXABLE,22700
FULL MKT VAL,1282485
COUNTY TAXABLE,19300
VILLAGE TAXABLE,19300
SCHOOL TAXABLE,19300
FULL MKT VAL,1090395
COUNTY TAXABLE,23000
VILLAGE TAXABLE,23000
SCHOOL TAXABLE,23000
FULL MKT VAL,1299435
COUNTY TAXABLE,53450
VILLAGE TAXABLE,53450
SCHOOL TAXABLE,53450
FULL MKT VAL,3019774
COUNTY TAXABLE,28250
VILLAGE TAXABLE,28250
SCHOOL TAXABLE,28250
FULL MKT VAL,1596045
COUNTY TAXABLE,20315
VILLAGE TAXABLE,20315
SCHOOL TAXABLE,19495
FULL MKT VAL,1204802
COUNTY TAXABLE,28000
VILLAGE TAXABLE,28000
SCHOOL TAXABLE,28000
FULL MKT VAL,1581920
COUNTY TAXABLE,18600
VILLAGE TAXABLE,18600
SCHOOL TAXABLE,14810
FULL MKT VAL,1050847
COUNTY TAXABLE,25800
VILLAGE TAXABLE,25800
SCHOOL TAXABLE,23970
FULL MKT VAL,1457627
COUNTY TAXABLE,22300
VILLAGE TAXABLE,22300
FULL MKT VAL,1542372
SCHOOL TAXABLE,25470
COUNTY TAXABLE,21300
VILLAGE TAXABLE,21300
SCHOOL TAXABLE,19470
FULL MKT VAL,1203389
COUNTY TAXABLE,32550
VILLAGE TAXABLE,32550
SCHOOL TAXABLE,32550
FULL MKT VAL,1838983
COUNTY TAXABLE,32550
VILLAGE TAXABLE,32550
SCHOOL TAXABLE,32550
FULL MKT VAL,1838983
COUNTY TAXABLE,22125
VILLAGE TAXABLE,22125
SCHOOL TAXABLE,22125
FULL MKT VAL,1249999
COUNTY TAXABLE,20200
VILLAGE TAXABLE,20200
FULL MKT VAL,1293785
SCHOOL TAXABLE,21070
COUNTY TAXABLE,25500
VILLAGE TAXABLE,25500
SCHOOL TAXABLE,25500
FULL MKT VAL,1440677
COUNTY TAXABLE,20900
VILLAGE TAXABLE,20900
SCHOOL TAXABLE,20900
FULL MKT VAL,1180790
COUNTY TAXABLE,25500
VILLAGE TAXABLE,25500
SCHOOL TAXABLE,25500
FULL MKT VAL,1440677
COUNTY TAXABLE,23000
VILLAGE TAXABLE,23000
SCHOOL TAXABLE,23000
FULL MKT VAL,1299435
COUNTY TAXABLE,26625
VILLAGE TAXABLE,26625
SCHOOL TAXABLE,26625
FULL MKT VAL,1504237
COUNTY TAXABLE,27275
VILLAGE TAXABLE,27275
SCHOOL TAXABLE,27275
FULL MKT VAL,1540960
COUNTY TAXABLE,30775
VILLAGE TAXABLE,30775
SCHOOL TAXABLE,30775
FULL MKT VAL,1738700
COUNTY TAXABLE,24600
VILLAGE TAXABLE,24600
SCHOOL TAXABLE,24600
FULL MKT VAL,1389830
COUNTY TAXABLE,26875
VILLAGE TAXABLE,26875
SCHOOL TAXABLE,26875
FULL MKT VAL,1518361
COUNTY TAXABLE,10550
VILLAGE TAXABLE,10550
SCHOOL TAXABLE,6760
FULL MKT VAL,1192090
COUNTY TAXABLE,20300
VILLAGE TAXABLE,20300
SCHOOL TAXABLE,18470
FULL MKT VAL,1146892
COUNTY TAXABLE,20190
VILLAGE TAXABLE,20190
SCHOOL TAXABLE,19370
FULL MKT VAL,1197740
COUNTY TAXABLE,39750
VILLAGE TAXABLE,39750
SCHOOL TAXABLE,37920
FULL MKT VAL,2245762
COUNTY TAXABLE,19763
VILLAGE TAXABLE,19763
SCHOOL TAXABLE,17933
FULL MKT VAL,1116553
COUNTY TAXABLE,31100
VILLAGE TAXABLE,31100
SCHOOL TAXABLE,31100
FULL MKT VAL,1757062
COUNTY TAXABLE,44875
VILLAGE TAXABLE,44875
SCHOOL TAXABLE,44875
FULL MKT VAL,2535310
COUNTY TAXABLE,44400
VILLAGE TAXABLE,44400
SCHOOL TAXABLE,44400
FULL MKT VAL,2508474
COUNTY TAXABLE,43850
VILLAGE TAXABLE,43850
SCHOOL TAXABLE,43850
FULL MKT VAL,2477401
COUNTY TAXABLE,40300
VILLAGE TAXABLE,40300
SCHOOL TAXABLE,38470
FULL MKT VAL,2276836
COUNTY TAXABLE,6900
VILLAGE TAXABLE,6900
SCHOOL TAXABLE,6900
FULL MKT VAL,389830
COUNTY TAXABLE,7200
VILLAGE TAXABLE,7200
SCHOOL TAXABLE,7200
FULL MKT VAL,406779
COUNTY TAXABLE,49600
VILLAGE TAXABLE,49600
SCHOOL TAXABLE,47770
FULL MKT VAL,2802259
COUNTY TAXABLE,52300
VILLAGE TAXABLE,52300
SCHOOL TAXABLE,52300
FULL MKT VAL,2954802
COUNTY TAXABLE,76900
VILLAGE TAXABLE,76900
SCHOOL TAXABLE,76900
FULL MKT VAL,4344632
COUNTY TAXABLE,44300
VILLAGE TAXABLE,44300
SCHOOL TAXABLE,44300
FULL MKT VAL,2502824
COUNTY TAXABLE,38725
VILLAGE TAXABLE,38725
SCHOOL TAXABLE,38725
FULL MKT VAL,2187853
COUNTY TAXABLE,23000
VILLAGE TAXABLE,23000
SCHOOL TAXABLE,21170
FULL MKT VAL,1299435
COUNTY TAXABLE,40525
VILLAGE TAXABLE,40525
SCHOOL TAXABLE,40525
FULL MKT VAL,2289548
COUNTY TAXABLE,36600
VILLAGE TAXABLE,36600
SCHOOL TAXABLE,34770
FULL MKT VAL,2067796
COUNTY TAXABLE,27800
VILLAGE TAXABLE,27800
SCHOOL TAXABLE,25970
FULL MKT VAL,1570621
COUNTY TAXABLE,34175
VILLAGE TAXABLE,34175
SCHOOL TAXABLE,34175
FULL MKT VAL,1930790
COUNTY TAXABLE,25700
VILLAGE TAXABLE,25700
SCHOOL TAXABLE,25700
FULL MKT VAL,1451977
COUNTY TAXABLE,50350
VILLAGE TAXABLE,50350
SCHOOL TAXABLE,50350
FULL MKT VAL,2844632
COUNTY TAXABLE,35350
VILLAGE TAXABLE,35350
SCHOOL TAXABLE,35350
FULL MKT VAL,1997175
COUNTY TAXABLE,24650
VILLAGE TAXABLE,24650
SCHOOL TAXABLE,22820
FULL MKT VAL,1392655
COUNTY TAXABLE,43425
VILLAGE TAXABLE,43425
SCHOOL TAXABLE,43425
FULL MKT VAL,2453389
COUNTY TAXABLE,25317
VILLAGE TAXABLE,25317
FULL MKT VAL,1525423
SCHOOL TAXABLE,25170
COUNTY TAXABLE,27800
VILLAGE TAXABLE,27800
SCHOOL TAXABLE,25970
FULL MKT VAL,1570621
COUNTY TAXABLE,26700
VILLAGE TAXABLE,26700
SCHOOL TAXABLE,26700
FULL MKT VAL,1508474
COUNTY TAXABLE,30800
VILLAGE TAXABLE,30800
SCHOOL TAXABLE,30800
FULL MKT VAL,1740112
COUNTY TAXABLE,47100
VILLAGE TAXABLE,47100
SCHOOL TAXABLE,47100
FULL MKT VAL,2661016
COUNTY TAXABLE,22740
VILLAGE TAXABLE,22740
SCHOOL TAXABLE,21920
FULL MKT VAL,1341807
COUNTY TAXABLE,30100
VILLAGE TAXABLE,30100
SCHOOL TAXABLE,30100
FULL MKT VAL,1700564
COUNTY TAXABLE,45175
VILLAGE TAXABLE,45175
SCHOOL TAXABLE,45175
FULL MKT VAL,2552259
COUNTY TAXABLE,23675
VILLAGE TAXABLE,23675
SCHOOL TAXABLE,23675
FULL MKT VAL,1337570
COUNTY TAXABLE,47525
VILLAGE TAXABLE,47525
SCHOOL TAXABLE,47525
FULL MKT VAL,2685028
COUNTY TAXABLE,9300
VILLAGE TAXABLE,9300
SCHOOL TAXABLE,9300
FULL MKT VAL,525423
COUNTY TAXABLE,52800
VILLAGE TAXABLE,52800
SCHOOL TAXABLE,52800
FULL MKT VAL,2983050
COUNTY TAXABLE,50150
VILLAGE TAXABLE,50150
SCHOOL TAXABLE,50150
FULL MKT VAL,2833333
COUNTY TAXABLE,34100
VILLAGE TAXABLE,34100
SCHOOL TAXABLE,32270
FULL MKT VAL,1926553
COUNTY TAXABLE,58000
VILLAGE TAXABLE,58000
SCHOOL TAXABLE,58000
FULL MKT VAL,3276836
COUNTY TAXABLE,43800
VILLAGE TAXABLE,43800
SCHOOL TAXABLE,41970
FULL MKT VAL,2474576
COUNTY TAXABLE,35550
VILLAGE TAXABLE,35550
SCHOOL TAXABLE,35550
FULL MKT VAL,2008474
COUNTY TAXABLE,91650
VILLAGE TAXABLE,91650
SCHOOL TAXABLE,91650
FULL MKT VAL,5177966
COUNTY TAXABLE,8400
VILLAGE TAXABLE,8400
SCHOOL TAXABLE,8400
FULL MKT VAL,474576
COUNTY TAXABLE,49150
VILLAGE TAXABLE,49150
SCHOOL TAXABLE,49150
FULL MKT VAL,2776836
COUNTY TAXABLE,24875
VILLAGE TAXABLE,24875
SCHOOL TAXABLE,24875
FULL MKT VAL,1405367
COUNTY TAXABLE,24350
VILLAGE TAXABLE,24350
SCHOOL TAXABLE,24350
FULL MKT VAL,1375706
COUNTY TAXABLE,34325
VILLAGE TAXABLE,34325
SCHOOL TAXABLE,34325
FULL MKT VAL,1939265
COUNTY TAXABLE,45200
VILLAGE TAXABLE,45200
SCHOOL TAXABLE,45200
FULL MKT VAL,2553672
COUNTY TAXABLE,48450
VILLAGE TAXABLE,48450
SCHOOL TAXABLE,48450
FULL MKT VAL,2737288
COUNTY TAXABLE,985
VILLAGE TAXABLE,985
SCHOOL TAXABLE,985
FULL MKT VAL,55649
COUNTY TAXABLE,38000
VILLAGE TAXABLE,38000
SCHOOL TAXABLE,38000
FULL MKT VAL,2146892
COUNTY TAXABLE,32125
VILLAGE TAXABLE,32125
SCHOOL TAXABLE,32125
FULL MKT VAL,1814971
COUNTY TAXABLE,30500
VILLAGE TAXABLE,30500
SCHOOL TAXABLE,28670
FULL MKT VAL,1723163
COUNTY TAXABLE,29100
VILLAGE TAXABLE,29100
SCHOOL TAXABLE,29100
FULL MKT VAL,1644067
COUNTY TAXABLE,24200
VILLAGE TAXABLE,24200
SCHOOL TAXABLE,22370
FULL MKT VAL,1367231
COUNTY TAXABLE,25520
VILLAGE TAXABLE,25520
SCHOOL TAXABLE,23690
FULL MKT VAL,1441807
COUNTY TAXABLE,23700
VILLAGE TAXABLE,23700
SCHOOL TAXABLE,23700
FULL MKT VAL,1338983
COUNTY TAXABLE,20775
VILLAGE TAXABLE,20775
SCHOOL TAXABLE,16985
FULL MKT VAL,1173728
COUNTY TAXABLE,15850
VILLAGE TAXABLE,15850
SCHOOL TAXABLE,14020
FULL MKT VAL,895480
COUNTY TAXABLE,13550
VILLAGE TAXABLE,13550
SCHOOL TAXABLE,11720
FULL MKT VAL,765536
COUNTY TAXABLE,19100
VILLAGE TAXABLE,19100
SCHOOL TAXABLE,17270
FULL MKT VAL,1079096
COUNTY TAXABLE,16000
VILLAGE TAXABLE,16000
SCHOOL TAXABLE,14170
FULL MKT VAL,903954
COUNTY TAXABLE,14600
VILLAGE TAXABLE,14600
SCHOOL TAXABLE,17770
FULL MKT VAL,1107344
COUNTY TAXABLE,18900
VILLAGE TAXABLE,18900
SCHOOL TAXABLE,17070
FULL MKT VAL,1067796
COUNTY TAXABLE,17500
VILLAGE TAXABLE,17500
SCHOOL TAXABLE,15670
FULL MKT VAL,988700
COUNTY TAXABLE,13600
VILLAGE TAXABLE,13600
SCHOOL TAXABLE,13600
FULL MKT VAL,768361
COUNTY TAXABLE,14950
VILLAGE TAXABLE,14950
SCHOOL TAXABLE,13120
FULL MKT VAL,844632
COUNTY TAXABLE,15200
VILLAGE TAXABLE,15200
SCHOOL TAXABLE,15200
FULL MKT VAL,858757
COUNTY TAXABLE,15600
VILLAGE TAXABLE,15600
SCHOOL TAXABLE,15600
FULL MKT VAL,881355
COUNTY TAXABLE,17050
VILLAGE TAXABLE,17050
SCHOOL TAXABLE,17050
FULL MKT VAL,963276
COUNTY TAXABLE,16275
VILLAGE TAXABLE,16275
SCHOOL TAXABLE,14445
FULL MKT VAL,919491
COUNTY TAXABLE,16300
VILLAGE TAXABLE,16300
SCHOOL TAXABLE,16300
FULL MKT VAL,920903
COUNTY TAXABLE,18500
VILLAGE TAXABLE,18500
SCHOOL TAXABLE,18500
FULL MKT VAL,1045197
COUNTY TAXABLE,22625
VILLAGE TAXABLE,22625
SCHOOL TAXABLE,22625
FULL MKT VAL,1278248
COUNTY TAXABLE,15850
VILLAGE TAXABLE,15850
SCHOOL TAXABLE,15850
FULL MKT VAL,895480
COUNTY TAXABLE,25320
VILLAGE TAXABLE,25320
SCHOOL TAXABLE,25320
FULL MKT VAL,1430508
COUNTY TAXABLE,22225
VILLAGE TAXABLE,22225
SCHOOL TAXABLE,22225
FULL MKT VAL,1255649
COUNTY TAXABLE,14600
VILLAGE TAXABLE,14600
SCHOOL TAXABLE,12770
FULL MKT VAL,824858
COUNTY TAXABLE,20250
VILLAGE TAXABLE,20250
SCHOOL TAXABLE,18420
FULL MKT VAL,1144067
COUNTY TAXABLE,18100
VILLAGE TAXABLE,18100
SCHOOL TAXABLE,16270
FULL MKT VAL,1022598
COUNTY TAXABLE,16300
VILLAGE TAXABLE,16300
SCHOOL TAXABLE,16300
FULL MKT VAL,920903
COUNTY TAXABLE,18550
VILLAGE TAXABLE,18550
SCHOOL TAXABLE,16720
FULL MKT VAL,1048022
COUNTY TAXABLE,16300
VILLAGE TAXABLE,16300
SCHOOL TAXABLE,14470
FULL MKT VAL,920903
COUNTY TAXABLE,17100
VILLAGE TAXABLE,17100
SCHOOL TAXABLE,17100
FULL MKT VAL,966101
COUNTY TAXABLE,19225
VILLAGE TAXABLE,19225
SCHOOL TAXABLE,17395
FULL MKT VAL,1086158
COUNTY TAXABLE,9425
VILLAGE TAXABLE,9425
SCHOOL TAXABLE,9425
FULL MKT VAL,532485
COUNTY TAXABLE,16900
VILLAGE TAXABLE,16900
SCHOOL TAXABLE,15070
FULL MKT VAL,954802
COUNTY TAXABLE,11850
VILLAGE TAXABLE,11850
SCHOOL TAXABLE,11850
FULL MKT VAL,669491
COUNTY TAXABLE,13650
VILLAGE TAXABLE,13650
SCHOOL TAXABLE,11820
FULL MKT VAL,771186
COUNTY TAXABLE,15400
VILLAGE TAXABLE,15400
SCHOOL TAXABLE,13570
FULL MKT VAL,870056
COUNTY TAXABLE,16200
VILLAGE TAXABLE,16200
SCHOOL TAXABLE,14370
FULL MKT VAL,915254
COUNTY TAXABLE,11950
VILLAGE TAXABLE,11950
SCHOOL TAXABLE,11950
FULL MKT VAL,675141
COUNTY TAXABLE,14600
VILLAGE TAXABLE,14600
SCHOOL TAXABLE,14600
FULL MKT VAL,824858
COUNTY TAXABLE,12300
VILLAGE TAXABLE,12300
SCHOOL TAXABLE,10470
FULL MKT VAL,694915
COUNTY TAXABLE,11000
VILLAGE TAXABLE,11000
SCHOOL TAXABLE,9170
FULL MKT VAL,621468
COUNTY TAXABLE,15617
VILLAGE TAXABLE,15617
FULL MKT VAL,977401
SCHOOL TAXABLE,15470
COUNTY TAXABLE,13700
VILLAGE TAXABLE,13700
SCHOOL TAXABLE,11870
FULL MKT VAL,774011
COUNTY TAXABLE,12400
VILLAGE TAXABLE,12400
SCHOOL TAXABLE,10570
FULL MKT VAL,700564
COUNTY TAXABLE,12100
VILLAGE TAXABLE,12100
SCHOOL TAXABLE,10270
FULL MKT VAL,683615
COUNTY TAXABLE,8100
VILLAGE TAXABLE,8100
SCHOOL TAXABLE,6270
FULL MKT VAL,457627
COUNTY TAXABLE,10300
VILLAGE TAXABLE,10300
SCHOOL TAXABLE,8470
FULL MKT VAL,581920
COUNTY TAXABLE,11700
VILLAGE TAXABLE,11700
SCHOOL TAXABLE,9870
FULL MKT VAL,661016
COUNTY TAXABLE,1900
VILLAGE TAXABLE,1900
SCHOOL TAXABLE,1900
FULL MKT VAL,107344
COUNTY TAXABLE,9500
VILLAGE TAXABLE,9500
SCHOOL TAXABLE,9500
FULL MKT VAL,536723
COUNTY TAXABLE,13700
VILLAGE TAXABLE,13700
SCHOOL TAXABLE,11870
FULL MKT VAL,774011
COUNTY TAXABLE,14700
VILLAGE TAXABLE,14700
SCHOOL TAXABLE,12870
FULL MKT VAL,830508
COUNTY TAXABLE,11500
VILLAGE TAXABLE,11500
SCHOOL TAXABLE,7710
FULL MKT VAL,649717
COUNTY TAXABLE,13100
VILLAGE TAXABLE,13100
SCHOOL TAXABLE,11270
FULL MKT VAL,740112
COUNTY TAXABLE,9850
VILLAGE TAXABLE,9850
SCHOOL TAXABLE,8020
FULL MKT VAL,556497
COUNTY TAXABLE,11900
VILLAGE TAXABLE,11900
SCHOOL TAXABLE,10070
FULL MKT VAL,672316
COUNTY TAXABLE,11950
VILLAGE TAXABLE,11950
SCHOOL TAXABLE,10120
FULL MKT VAL,675141
COUNTY TAXABLE,14400
VILLAGE TAXABLE,14400
SCHOOL TAXABLE,12570
FULL MKT VAL,813559
COUNTY TAXABLE,16900
VILLAGE TAXABLE,16900
SCHOOL TAXABLE,15070
FULL MKT VAL,954802
COUNTY TAXABLE,9390
VILLAGE TAXABLE,9390
FULL MKT VAL,587570
SCHOOL TAXABLE,8570
COUNTY TAXABLE,10600
VILLAGE TAXABLE,10600
SCHOOL TAXABLE,8770
FULL MKT VAL,598870
COUNTY TAXABLE,11490
VILLAGE TAXABLE,11490
FULL MKT VAL,706214
SCHOOL TAXABLE,8710
COUNTY TAXABLE,14400
VILLAGE TAXABLE,14400
SCHOOL TAXABLE,12570
FULL MKT VAL,813559
COUNTY TAXABLE,12600
VILLAGE TAXABLE,12600
SCHOOL TAXABLE,10770
FULL MKT VAL,711864
COUNTY TAXABLE,15000
VILLAGE TAXABLE,15000
SCHOOL TAXABLE,13170
FULL MKT VAL,847457
COUNTY TAXABLE,14200
VILLAGE TAXABLE,14200
SCHOOL TAXABLE,14200
FULL MKT VAL,802259
COUNTY TAXABLE,14350
VILLAGE TAXABLE,14350
SCHOOL TAXABLE,12520
FULL MKT VAL,810734
COUNTY TAXABLE,15800
VILLAGE TAXABLE,15800
SCHOOL TAXABLE,15800
FULL MKT VAL,892655
COUNTY TAXABLE,19350
VILLAGE TAXABLE,19350
SCHOOL TAXABLE,19350
FULL MKT VAL,1093220
COUNTY TAXABLE,16100
VILLAGE TAXABLE,16100
SCHOOL TAXABLE,14270
FULL MKT VAL,909604
COUNTY TAXABLE,15400
VILLAGE TAXABLE,15400
SCHOOL TAXABLE,13570
FULL MKT VAL,870056
COUNTY TAXABLE,18200
VILLAGE TAXABLE,18200
SCHOOL TAXABLE,16370
FULL MKT VAL,1028248
COUNTY TAXABLE,33050
VILLAGE TAXABLE,33050
SCHOOL TAXABLE,33050
FULL MKT VAL,1867231
COUNTY TAXABLE,19100
VILLAGE TAXABLE,19100
SCHOOL TAXABLE,19100
FULL MKT VAL,1079096
COUNTY TAXABLE,19990
VILLAGE TAXABLE,19990
SCHOOL TAXABLE,19170
FULL MKT VAL,1186440
COUNTY TAXABLE,18200
VILLAGE TAXABLE,18200
SCHOOL TAXABLE,18200
FULL MKT VAL,1028248
COUNTY TAXABLE,11825
VILLAGE TAXABLE,11825
SCHOOL TAXABLE,8035
FULL MKT VAL,668079
COUNTY TAXABLE,22900
VILLAGE TAXABLE,22900
SCHOOL TAXABLE,22900
FULL MKT VAL,1293785
COUNTY TAXABLE,11000
VILLAGE TAXABLE,11000
SCHOOL TAXABLE,9170
